realization,acc_ratio,energy
1,0.040000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.070000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.080000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.080000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.050000,0.000000
1,0.080000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.060000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.000000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.070000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.000000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.010000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.000000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.050000,0.000000
1,0.070000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.070000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.010000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.070000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.000000,0.000000
1,0.090000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.070000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.010000,0.000000
1,0.010000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.000000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.070000,0.000000
1,0.080000,0.000000
1,0.070000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.000000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.070000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.010000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.080000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.010000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.070000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.070000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.100000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.080000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.070000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.090000,0.000000
1,0.070000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.000000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.080000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.080000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.090000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.000000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.000000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.000000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.000000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.080000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.070000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.070000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.000000,0.000000
1,0.030000,0.000000
1,0.000000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.070000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.070000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.070000,0.000000
1,0.020000,0.000000
1,0.070000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.070000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.000000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.070000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.000000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.080000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.070000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.010000,0.000000
1,0.020000,0.000000
1,0.110000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.050000,0.000000
1,0.070000,0.000000
1,0.010000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.070000,0.000000
1,0.010000,0.000000
1,0.080000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.080000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.100000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.010000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.000000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.080000,0.000000
1,0.020000,0.000000
1,0.010000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.070000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.070000,0.000000
1,0.070000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.070000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.000000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.010000,0.000000
1,0.010000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.070000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.060000,0.000000
1,0.060000,0.000000
1,0.070000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.090000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.010000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.000000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.070000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.080000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.090000,0.000000
1,0.080000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.100000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.070000,0.000000
1,0.010000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.070000,0.000000
1,0.000000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.000000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.090000,0.000000
1,0.010000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.090000,0.000000
1,0.070000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.070000,0.000000
1,0.030000,0.000000
1,0.000000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.000000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.010000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.100000,0.000000
1,0.030000,0.000000
1,0.060000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.080000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.010000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.070000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.070000,0.000000
1,0.040000,0.000000
1,0.100000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.070000,0.000000
1,0.010000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.060000,0.000000
1,0.020000,0.000000
1,0.010000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.070000,0.000000
1,0.090000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.080000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.000000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.010000,0.000000
1,0.080000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.020000,0.000000
1,0.010000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.010000,0.000000
1,0.010000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.020000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.090000,0.000000
1,0.020000,0.000000
1,0.020000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.080000,0.000000
1,0.060000,0.000000
1,0.050000,0.000000
1,0.030000,0.000000
1,0.000000,0.000000
1,0.040000,0.000000
1,0.030000,0.000000
1,0.030000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.040000,0.000000
1,0.100000,0.000000
1,0.040000,0.000000
1,0.020000,0.000000
1,0.050000,0.000000
1,0.090000,0.000000
1,0.090000,0.000000
1,0.030000,0.000000
1,0.040000,0.000000
1,0.070000,0.000000
1,0.040000,0.000000
1,0.010000,0.000000
1,0.040000,0.000000
1,0.040000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.050000,0.000000
1,0.060000,0.000000
1,0.010000,0.000000
1,0.050000,0.000000
1,0.020000,0.000000
