realization,acc_ratio,energy
1,0.260000,0.000000
1,0.330000,0.000000
1,0.310000,0.000000
1,0.370000,0.000000
1,0.290000,0.000000
1,0.260000,0.000000
1,0.290000,0.000000
1,0.280000,0.000000
1,0.350000,0.000000
1,0.310000,0.000000
1,0.350000,0.000000
1,0.400000,0.000000
1,0.220000,0.000000
1,0.300000,0.000000
1,0.340000,0.000000
1,0.380000,0.000000
1,0.310000,0.000000
1,0.330000,0.000000
1,0.290000,0.000000
1,0.400000,0.000000
1,0.340000,0.000000
1,0.230000,0.000000
1,0.280000,0.000000
1,0.340000,0.000000
1,0.250000,0.000000
1,0.260000,0.000000
1,0.290000,0.000000
1,0.330000,0.000000
1,0.210000,0.000000
1,0.330000,0.000000
1,0.270000,0.000000
1,0.280000,0.000000
1,0.280000,0.000000
1,0.300000,0.000000
1,0.370000,0.000000
1,0.240000,0.000000
1,0.240000,0.000000
1,0.240000,0.000000
1,0.350000,0.000000
1,0.250000,0.000000
1,0.290000,0.000000
1,0.240000,0.000000
1,0.320000,0.000000
1,0.260000,0.000000
1,0.270000,0.000000
1,0.380000,0.000000
1,0.290000,0.000000
1,0.230000,0.000000
1,0.330000,0.000000
1,0.230000,0.000000
1,0.350000,0.000000
1,0.250000,0.000000
1,0.330000,0.000000
1,0.260000,0.000000
1,0.270000,0.000000
1,0.310000,0.000000
1,0.270000,0.000000
1,0.270000,0.000000
1,0.340000,0.000000
1,0.370000,0.000000
1,0.270000,0.000000
1,0.200000,0.000000
1,0.330000,0.000000
1,0.250000,0.000000
1,0.250000,0.000000
1,0.330000,0.000000
1,0.260000,0.000000
1,0.340000,0.000000
1,0.250000,0.000000
1,0.300000,0.000000
1,0.340000,0.000000
1,0.230000,0.000000
1,0.310000,0.000000
1,0.220000,0.000000
1,0.330000,0.000000
1,0.310000,0.000000
1,0.270000,0.000000
1,0.270000,0.000000
1,0.280000,0.000000
1,0.280000,0.000000
1,0.340000,0.000000
1,0.370000,0.000000
1,0.270000,0.000000
1,0.360000,0.000000
1,0.250000,0.000000
1,0.270000,0.000000
1,0.280000,0.000000
1,0.220000,0.000000
1,0.360000,0.000000
1,0.320000,0.000000
1,0.300000,0.000000
1,0.330000,0.000000
1,0.240000,0.000000
1,0.320000,0.000000
1,0.310000,0.000000
1,0.320000,0.000000
1,0.250000,0.000000
1,0.350000,0.000000
1,0.360000,0.000000
1,0.350000,0.000000
1,0.300000,0.000000
1,0.310000,0.000000
1,0.230000,0.000000
1,0.250000,0.000000
1,0.360000,0.000000
1,0.240000,0.000000
1,0.320000,0.000000
1,0.280000,0.000000
1,0.270000,0.000000
1,0.330000,0.000000
1,0.290000,0.000000
1,0.390000,0.000000
1,0.330000,0.000000
1,0.350000,0.000000
1,0.310000,0.000000
1,0.300000,0.000000
1,0.350000,0.000000
1,0.380000,0.000000
1,0.350000,0.000000
1,0.210000,0.000000
1,0.380000,0.000000
1,0.230000,0.000000
1,0.270000,0.000000
1,0.310000,0.000000
1,0.260000,0.000000
1,0.300000,0.000000
1,0.330000,0.000000
1,0.260000,0.000000
1,0.220000,0.000000
1,0.290000,0.000000
1,0.380000,0.000000
1,0.330000,0.000000
1,0.340000,0.000000
1,0.330000,0.000000
1,0.350000,0.000000
1,0.340000,0.000000
1,0.240000,0.000000
1,0.240000,0.000000
1,0.300000,0.000000
1,0.410000,0.000000
1,0.270000,0.000000
1,0.370000,0.000000
1,0.360000,0.000000
1,0.380000,0.000000
1,0.280000,0.000000
1,0.320000,0.000000
1,0.320000,0.000000
1,0.290000,0.000000
1,0.330000,0.000000
1,0.310000,0.000000
1,0.350000,0.000000
1,0.230000,0.000000
1,0.330000,0.000000
1,0.350000,0.000000
1,0.330000,0.000000
1,0.200000,0.000000
1,0.330000,0.000000
1,0.310000,0.000000
1,0.290000,0.000000
1,0.320000,0.000000
1,0.290000,0.000000
1,0.320000,0.000000
1,0.240000,0.000000
1,0.300000,0.000000
1,0.210000,0.000000
1,0.320000,0.000000
1,0.270000,0.000000
1,0.330000,0.000000
1,0.320000,0.000000
1,0.340000,0.000000
1,0.290000,0.000000
1,0.310000,0.000000
1,0.340000,0.000000
1,0.320000,0.000000
1,0.230000,0.000000
1,0.300000,0.000000
1,0.320000,0.000000
1,0.320000,0.000000
1,0.330000,0.000000
1,0.310000,0.000000
1,0.370000,0.000000
1,0.360000,0.000000
1,0.290000,0.000000
1,0.330000,0.000000
1,0.320000,0.000000
1,0.250000,0.000000
1,0.360000,0.000000
1,0.280000,0.000000
1,0.270000,0.000000
1,0.440000,0.000000
1,0.290000,0.000000
1,0.390000,0.000000
1,0.390000,0.000000
1,0.290000,0.000000
1,0.260000,0.000000
1,0.210000,0.000000
1,0.260000,0.000000
1,0.270000,0.000000
1,0.320000,0.000000
1,0.300000,0.000000
1,0.250000,0.000000
1,0.290000,0.000000
1,0.340000,0.000000
1,0.380000,0.000000
1,0.270000,0.000000
1,0.300000,0.000000
1,0.380000,0.000000
1,0.270000,0.000000
1,0.310000,0.000000
1,0.300000,0.000000
1,0.350000,0.000000
1,0.320000,0.000000
1,0.370000,0.000000
1,0.380000,0.000000
1,0.280000,0.000000
1,0.280000,0.000000
1,0.320000,0.000000
1,0.290000,0.000000
1,0.300000,0.000000
1,0.270000,0.000000
1,0.340000,0.000000
1,0.380000,0.000000
1,0.290000,0.000000
1,0.360000,0.000000
1,0.340000,0.000000
1,0.310000,0.000000
1,0.310000,0.000000
1,0.300000,0.000000
1,0.280000,0.000000
1,0.340000,0.000000
1,0.270000,0.000000
1,0.360000,0.000000
1,0.230000,0.000000
1,0.300000,0.000000
1,0.230000,0.000000
1,0.260000,0.000000
1,0.370000,0.000000
1,0.350000,0.000000
1,0.360000,0.000000
1,0.310000,0.000000
1,0.360000,0.000000
1,0.230000,0.000000
1,0.300000,0.000000
1,0.280000,0.000000
1,0.290000,0.000000
1,0.340000,0.000000
1,0.300000,0.000000
1,0.350000,0.000000
1,0.270000,0.000000
1,0.210000,0.000000
1,0.350000,0.000000
1,0.310000,0.000000
1,0.270000,0.000000
1,0.250000,0.000000
1,0.420000,0.000000
1,0.280000,0.000000
1,0.320000,0.000000
1,0.310000,0.000000
1,0.350000,0.000000
1,0.310000,0.000000
1,0.300000,0.000000
1,0.320000,0.000000
1,0.360000,0.000000
1,0.290000,0.000000
1,0.390000,0.000000
1,0.250000,0.000000
1,0.300000,0.000000
1,0.280000,0.000000
1,0.280000,0.000000
1,0.320000,0.000000
1,0.380000,0.000000
1,0.260000,0.000000
1,0.360000,0.000000
1,0.300000,0.000000
1,0.280000,0.000000
1,0.320000,0.000000
1,0.400000,0.000000
1,0.270000,0.000000
1,0.340000,0.000000
1,0.250000,0.000000
1,0.310000,0.000000
1,0.300000,0.000000
1,0.350000,0.000000
1,0.270000,0.000000
1,0.350000,0.000000
1,0.320000,0.000000
1,0.280000,0.000000
1,0.240000,0.000000
1,0.340000,0.000000
1,0.250000,0.000000
1,0.290000,0.000000
1,0.270000,0.000000
1,0.300000,0.000000
1,0.310000,0.000000
1,0.290000,0.000000
1,0.300000,0.000000
1,0.270000,0.000000
1,0.320000,0.000000
1,0.310000,0.000000
1,0.330000,0.000000
1,0.330000,0.000000
1,0.310000,0.000000
1,0.280000,0.000000
1,0.330000,0.000000
1,0.300000,0.000000
1,0.270000,0.000000
1,0.360000,0.000000
1,0.350000,0.000000
1,0.280000,0.000000
1,0.400000,0.000000
1,0.270000,0.000000
1,0.190000,0.000000
1,0.270000,0.000000
1,0.350000,0.000000
1,0.310000,0.000000
1,0.300000,0.000000
1,0.230000,0.000000
1,0.300000,0.000000
1,0.300000,0.000000
1,0.330000,0.000000
1,0.340000,0.000000
1,0.260000,0.000000
1,0.330000,0.000000
1,0.280000,0.000000
1,0.300000,0.000000
1,0.320000,0.000000
1,0.340000,0.000000
1,0.350000,0.000000
1,0.270000,0.000000
1,0.280000,0.000000
1,0.310000,0.000000
1,0.380000,0.000000
1,0.360000,0.000000
1,0.400000,0.000000
1,0.240000,0.000000
1,0.350000,0.000000
1,0.340000,0.000000
1,0.310000,0.000000
1,0.330000,0.000000
1,0.350000,0.000000
1,0.260000,0.000000
1,0.320000,0.000000
1,0.300000,0.000000
1,0.300000,0.000000
1,0.350000,0.000000
1,0.230000,0.000000
1,0.290000,0.000000
1,0.270000,0.000000
1,0.330000,0.000000
1,0.330000,0.000000
1,0.350000,0.000000
1,0.350000,0.000000
1,0.390000,0.000000
1,0.240000,0.000000
1,0.330000,0.000000
1,0.320000,0.000000
1,0.310000,0.000000
1,0.270000,0.000000
1,0.260000,0.000000
1,0.280000,0.000000
1,0.280000,0.000000
1,0.330000,0.000000
1,0.370000,0.000000
1,0.340000,0.000000
1,0.320000,0.000000
1,0.270000,0.000000
1,0.310000,0.000000
1,0.260000,0.000000
1,0.330000,0.000000
1,0.280000,0.000000
1,0.290000,0.000000
1,0.300000,0.000000
1,0.300000,0.000000
1,0.220000,0.000000
1,0.310000,0.000000
1,0.280000,0.000000
1,0.330000,0.000000
1,0.270000,0.000000
1,0.350000,0.000000
1,0.350000,0.000000
1,0.270000,0.000000
1,0.220000,0.000000
1,0.290000,0.000000
1,0.320000,0.000000
1,0.250000,0.000000
1,0.320000,0.000000
1,0.320000,0.000000
1,0.310000,0.000000
1,0.220000,0.000000
1,0.260000,0.000000
1,0.280000,0.000000
1,0.370000,0.000000
1,0.310000,0.000000
1,0.360000,0.000000
1,0.330000,0.000000
1,0.310000,0.000000
1,0.310000,0.000000
1,0.300000,0.000000
1,0.270000,0.000000
1,0.300000,0.000000
1,0.290000,0.000000
1,0.270000,0.000000
1,0.210000,0.000000
1,0.320000,0.000000
1,0.290000,0.000000
1,0.290000,0.000000
1,0.220000,0.000000
1,0.310000,0.000000
1,0.340000,0.000000
1,0.360000,0.000000
1,0.270000,0.000000
1,0.320000,0.000000
1,0.330000,0.000000
1,0.280000,0.000000
1,0.260000,0.000000
1,0.410000,0.000000
1,0.360000,0.000000
1,0.280000,0.000000
1,0.330000,0.000000
1,0.320000,0.000000
1,0.310000,0.000000
1,0.290000,0.000000
1,0.280000,0.000000
1,0.290000,0.000000
1,0.340000,0.000000
1,0.350000,0.000000
1,0.330000,0.000000
1,0.340000,0.000000
1,0.240000,0.000000
1,0.310000,0.000000
1,0.360000,0.000000
1,0.330000,0.000000
1,0.340000,0.000000
1,0.280000,0.000000
1,0.350000,0.000000
1,0.320000,0.000000
1,0.330000,0.000000
1,0.270000,0.000000
1,0.340000,0.000000
1,0.280000,0.000000
1,0.340000,0.000000
1,0.330000,0.000000
1,0.320000,0.000000
1,0.350000,0.000000
1,0.240000,0.000000
1,0.320000,0.000000
1,0.320000,0.000000
1,0.340000,0.000000
1,0.340000,0.000000
1,0.370000,0.000000
1,0.310000,0.000000
1,0.310000,0.000000
1,0.310000,0.000000
1,0.290000,0.000000
1,0.260000,0.000000
1,0.370000,0.000000
1,0.310000,0.000000
1,0.270000,0.000000
1,0.360000,0.000000
1,0.320000,0.000000
1,0.310000,0.000000
1,0.320000,0.000000
1,0.300000,0.000000
1,0.290000,0.000000
1,0.340000,0.000000
1,0.350000,0.000000
1,0.370000,0.000000
1,0.390000,0.000000
1,0.310000,0.000000
1,0.290000,0.000000
1,0.350000,0.000000
1,0.270000,0.000000
1,0.340000,0.000000
1,0.250000,0.000000
1,0.220000,0.000000
1,0.340000,0.000000
1,0.250000,0.000000
1,0.290000,0.000000
1,0.290000,0.000000
1,0.290000,0.000000
1,0.290000,0.000000
1,0.320000,0.000000
1,0.380000,0.000000
1,0.310000,0.000000
1,0.300000,0.000000
1,0.320000,0.000000
1,0.350000,0.000000
1,0.240000,0.000000
1,0.320000,0.000000
1,0.280000,0.000000
1,0.250000,0.000000
1,0.280000,0.000000
1,0.300000,0.000000
1,0.240000,0.000000
1,0.380000,0.000000
1,0.340000,0.000000
1,0.360000,0.000000
1,0.270000,0.000000
1,0.290000,0.000000
1,0.290000,0.000000
1,0.290000,0.000000
1,0.260000,0.000000
1,0.320000,0.000000
1,0.270000,0.000000
1,0.320000,0.000000
1,0.290000,0.000000
1,0.260000,0.000000
1,0.230000,0.000000
1,0.220000,0.000000
1,0.260000,0.000000
1,0.280000,0.000000
1,0.330000,0.000000
1,0.290000,0.000000
1,0.200000,0.000000
1,0.230000,0.000000
1,0.350000,0.000000
1,0.320000,0.000000
1,0.340000,0.000000
1,0.230000,0.000000
1,0.310000,0.000000
1,0.180000,0.000000
1,0.300000,0.000000
1,0.280000,0.000000
1,0.270000,0.000000
1,0.330000,0.000000
1,0.230000,0.000000
1,0.280000,0.000000
1,0.370000,0.000000
1,0.290000,0.000000
1,0.330000,0.000000
1,0.290000,0.000000
1,0.370000,0.000000
1,0.310000,0.000000
1,0.270000,0.000000
1,0.380000,0.000000
1,0.230000,0.000000
1,0.340000,0.000000
1,0.310000,0.000000
1,0.230000,0.000000
1,0.260000,0.000000
1,0.370000,0.000000
1,0.380000,0.000000
1,0.350000,0.000000
1,0.310000,0.000000
1,0.350000,0.000000
1,0.180000,0.000000
1,0.270000,0.000000
1,0.370000,0.000000
1,0.220000,0.000000
1,0.240000,0.000000
1,0.250000,0.000000
1,0.320000,0.000000
1,0.400000,0.000000
1,0.340000,0.000000
1,0.360000,0.000000
1,0.310000,0.000000
1,0.220000,0.000000
1,0.290000,0.000000
1,0.300000,0.000000
1,0.340000,0.000000
1,0.350000,0.000000
1,0.360000,0.000000
1,0.250000,0.000000
1,0.290000,0.000000
1,0.370000,0.000000
1,0.310000,0.000000
1,0.310000,0.000000
1,0.330000,0.000000
1,0.310000,0.000000
1,0.290000,0.000000
1,0.340000,0.000000
1,0.290000,0.000000
1,0.340000,0.000000
1,0.360000,0.000000
1,0.280000,0.000000
1,0.300000,0.000000
1,0.380000,0.000000
1,0.300000,0.000000
1,0.280000,0.000000
1,0.320000,0.000000
1,0.360000,0.000000
1,0.280000,0.000000
1,0.290000,0.000000
1,0.340000,0.000000
1,0.300000,0.000000
1,0.320000,0.000000
1,0.230000,0.000000
1,0.300000,0.000000
1,0.350000,0.000000
1,0.270000,0.000000
1,0.340000,0.000000
1,0.340000,0.000000
1,0.240000,0.000000
1,0.260000,0.000000
1,0.230000,0.000000
1,0.320000,0.000000
1,0.290000,0.000000
1,0.280000,0.000000
1,0.330000,0.000000
1,0.320000,0.000000
1,0.320000,0.000000
1,0.300000,0.000000
1,0.170000,0.000000
1,0.230000,0.000000
1,0.300000,0.000000
1,0.330000,0.000000
1,0.290000,0.000000
1,0.250000,0.000000
1,0.280000,0.000000
1,0.290000,0.000000
1,0.380000,0.000000
1,0.250000,0.000000
1,0.290000,0.000000
1,0.190000,0.000000
1,0.290000,0.000000
1,0.220000,0.000000
1,0.260000,0.000000
1,0.260000,0.000000
1,0.340000,0.000000
1,0.350000,0.000000
1,0.390000,0.000000
1,0.270000,0.000000
1,0.350000,0.000000
1,0.310000,0.000000
1,0.290000,0.000000
1,0.310000,0.000000
1,0.290000,0.000000
1,0.270000,0.000000
1,0.320000,0.000000
1,0.240000,0.000000
1,0.340000,0.000000
1,0.300000,0.000000
1,0.280000,0.000000
1,0.340000,0.000000
1,0.330000,0.000000
1,0.330000,0.000000
1,0.380000,0.000000
1,0.350000,0.000000
1,0.260000,0.000000
1,0.200000,0.000000
1,0.310000,0.000000
1,0.330000,0.000000
1,0.240000,0.000000
1,0.250000,0.000000
1,0.310000,0.000000
1,0.300000,0.000000
1,0.270000,0.000000
1,0.300000,0.000000
1,0.330000,0.000000
1,0.300000,0.000000
1,0.260000,0.000000
1,0.280000,0.000000
1,0.370000,0.000000
1,0.300000,0.000000
1,0.270000,0.000000
1,0.310000,0.000000
1,0.290000,0.000000
1,0.290000,0.000000
1,0.330000,0.000000
1,0.280000,0.000000
1,0.240000,0.000000
1,0.260000,0.000000
1,0.340000,0.000000
1,0.350000,0.000000
1,0.290000,0.000000
1,0.370000,0.000000
1,0.310000,0.000000
1,0.440000,0.000000
1,0.240000,0.000000
1,0.250000,0.000000
1,0.280000,0.000000
1,0.280000,0.000000
1,0.400000,0.000000
1,0.260000,0.000000
1,0.330000,0.000000
1,0.300000,0.000000
1,0.340000,0.000000
1,0.300000,0.000000
1,0.310000,0.000000
1,0.260000,0.000000
1,0.360000,0.000000
1,0.390000,0.000000
1,0.380000,0.000000
1,0.340000,0.000000
1,0.310000,0.000000
1,0.260000,0.000000
1,0.270000,0.000000
1,0.230000,0.000000
1,0.310000,0.000000
1,0.210000,0.000000
1,0.280000,0.000000
1,0.260000,0.000000
1,0.270000,0.000000
1,0.260000,0.000000
1,0.330000,0.000000
1,0.330000,0.000000
1,0.320000,0.000000
1,0.320000,0.000000
1,0.320000,0.000000
1,0.320000,0.000000
1,0.280000,0.000000
1,0.330000,0.000000
1,0.360000,0.000000
1,0.390000,0.000000
1,0.180000,0.000000
1,0.270000,0.000000
1,0.300000,0.000000
1,0.240000,0.000000
1,0.390000,0.000000
1,0.310000,0.000000
1,0.300000,0.000000
1,0.280000,0.000000
1,0.280000,0.000000
1,0.330000,0.000000
1,0.350000,0.000000
1,0.400000,0.000000
1,0.300000,0.000000
1,0.380000,0.000000
1,0.320000,0.000000
1,0.270000,0.000000
1,0.290000,0.000000
1,0.350000,0.000000
1,0.230000,0.000000
1,0.300000,0.000000
1,0.280000,0.000000
1,0.360000,0.000000
1,0.240000,0.000000
1,0.310000,0.000000
1,0.340000,0.000000
1,0.380000,0.000000
1,0.290000,0.000000
1,0.320000,0.000000
1,0.380000,0.000000
1,0.350000,0.000000
1,0.350000,0.000000
1,0.310000,0.000000
1,0.280000,0.000000
1,0.290000,0.000000
1,0.300000,0.000000
1,0.310000,0.000000
1,0.270000,0.000000
1,0.300000,0.000000
1,0.300000,0.000000
1,0.340000,0.000000
1,0.250000,0.000000
1,0.390000,0.000000
1,0.350000,0.000000
1,0.330000,0.000000
1,0.240000,0.000000
1,0.280000,0.000000
1,0.310000,0.000000
1,0.270000,0.000000
1,0.270000,0.000000
1,0.310000,0.000000
1,0.300000,0.000000
1,0.250000,0.000000
1,0.210000,0.000000
1,0.280000,0.000000
1,0.300000,0.000000
1,0.310000,0.000000
1,0.300000,0.000000
1,0.330000,0.000000
1,0.260000,0.000000
1,0.310000,0.000000
1,0.410000,0.000000
1,0.250000,0.000000
1,0.350000,0.000000
1,0.310000,0.000000
1,0.280000,0.000000
1,0.360000,0.000000
1,0.420000,0.000000
1,0.330000,0.000000
1,0.340000,0.000000
1,0.230000,0.000000
1,0.290000,0.000000
1,0.290000,0.000000
1,0.210000,0.000000
1,0.320000,0.000000
1,0.390000,0.000000
1,0.370000,0.000000
1,0.200000,0.000000
1,0.300000,0.000000
1,0.280000,0.000000
1,0.360000,0.000000
1,0.330000,0.000000
1,0.370000,0.000000
1,0.270000,0.000000
1,0.300000,0.000000
1,0.280000,0.000000
1,0.330000,0.000000
1,0.310000,0.000000
1,0.360000,0.000000
1,0.290000,0.000000
1,0.310000,0.000000
1,0.300000,0.000000
1,0.310000,0.000000
1,0.320000,0.000000
1,0.310000,0.000000
1,0.320000,0.000000
1,0.280000,0.000000
1,0.320000,0.000000
1,0.380000,0.000000
1,0.290000,0.000000
1,0.310000,0.000000
1,0.370000,0.000000
1,0.300000,0.000000
1,0.320000,0.000000
1,0.300000,0.000000
1,0.310000,0.000000
1,0.260000,0.000000
1,0.300000,0.000000
1,0.310000,0.000000
1,0.320000,0.000000
1,0.330000,0.000000
1,0.230000,0.000000
1,0.260000,0.000000
1,0.400000,0.000000
1,0.310000,0.000000
1,0.360000,0.000000
1,0.320000,0.000000
1,0.350000,0.000000
1,0.310000,0.000000
1,0.280000,0.000000
1,0.340000,0.000000
1,0.310000,0.000000
1,0.250000,0.000000
1,0.260000,0.000000
1,0.240000,0.000000
1,0.390000,0.000000
1,0.240000,0.000000
1,0.240000,0.000000
1,0.380000,0.000000
1,0.340000,0.000000
1,0.360000,0.000000
1,0.300000,0.000000
1,0.250000,0.000000
1,0.340000,0.000000
1,0.360000,0.000000
1,0.290000,0.000000
1,0.300000,0.000000
1,0.350000,0.000000
1,0.320000,0.000000
1,0.230000,0.000000
1,0.290000,0.000000
1,0.310000,0.000000
1,0.380000,0.000000
1,0.350000,0.000000
1,0.370000,0.000000
1,0.300000,0.000000
1,0.350000,0.000000
1,0.280000,0.000000
1,0.310000,0.000000
1,0.340000,0.000000
1,0.290000,0.000000
1,0.260000,0.000000
1,0.310000,0.000000
1,0.250000,0.000000
1,0.200000,0.000000
1,0.330000,0.000000
1,0.330000,0.000000
1,0.370000,0.000000
1,0.320000,0.000000
1,0.320000,0.000000
1,0.270000,0.000000
1,0.290000,0.000000
1,0.240000,0.000000
1,0.270000,0.000000
1,0.320000,0.000000
1,0.240000,0.000000
1,0.360000,0.000000
1,0.270000,0.000000
1,0.370000,0.000000
1,0.300000,0.000000
1,0.330000,0.000000
1,0.240000,0.000000
1,0.370000,0.000000
1,0.340000,0.000000
1,0.340000,0.000000
1,0.340000,0.000000
1,0.250000,0.000000
1,0.260000,0.000000
1,0.350000,0.000000
1,0.340000,0.000000
1,0.280000,0.000000
1,0.240000,0.000000
1,0.420000,0.000000
1,0.390000,0.000000
1,0.290000,0.000000
1,0.280000,0.000000
1,0.300000,0.000000
1,0.270000,0.000000
1,0.330000,0.000000
1,0.300000,0.000000
1,0.280000,0.000000
1,0.230000,0.000000
1,0.370000,0.000000
1,0.290000,0.000000
1,0.330000,0.000000
1,0.340000,0.000000
1,0.330000,0.000000
1,0.270000,0.000000
1,0.260000,0.000000
1,0.260000,0.000000
1,0.350000,0.000000
1,0.350000,0.000000
1,0.290000,0.000000
1,0.380000,0.000000
1,0.310000,0.000000
1,0.220000,0.000000
1,0.290000,0.000000
1,0.330000,0.000000
1,0.310000,0.000000
1,0.270000,0.000000
1,0.230000,0.000000
1,0.360000,0.000000
1,0.250000,0.000000
1,0.350000,0.000000
1,0.310000,0.000000
1,0.430000,0.000000
1,0.320000,0.000000
1,0.230000,0.000000
1,0.230000,0.000000
1,0.340000,0.000000
1,0.260000,0.000000
1,0.320000,0.000000
1,0.250000,0.000000
1,0.360000,0.000000
1,0.340000,0.000000
